ITEM_ID,TRANSACTION_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_PERCENT,LINE_TOTAL
5001,4001,2004,1,149.99,20,119.99
5002,4001,2007,1,79.99,25,59.99
5003,4002,2007,1,79.99,0,79.99
5004,4003,2006,1,249.99,0,249.99
5005,4004,2009,1,129.99,15,110.49
5006,4005,2001,1,39.99,0,39.99
5007,4006,2008,1,299.99,25,224.99
5008,4007,2010,1,59.99,0,59.99
5009,4008,2004,2,149.99,30,209.99
5010,4009,2004,1,149.99,0,149.99
5028,4010,2015,1,49.99,10,44.99
5011,4011,2002,1,89.99,10,80.99
5012,4011,2007,1,79.99,10,71.99
5013,4012,2001,2,39.99,0,79.98
5014,4012,2001,1,39.99,0,39.99
5015,4013,2003,1,119.99,20,95.99
5016,4013,2005,1,189.99,50,95.00
5017,4014,2007,1,79.99,0,79.99
5018,4015,2001,1,39.99,0,39.99
5021,4016,2010,1,59.99,15,50.99
5019,4016,2012,1,84.99,20,67.99
5020,4016,2014,1,99.99,20,79.99
5022,4017,2013,1,159.99,0,159.99
5023,4018,2011,2,44.99,0,89.98
5024,4019,2015,2,49.99,15,84.98
5025,4019,2017,1,69.99,15,59.49
5026,4020,2015,1,49.99,0,49.99
5027,4021,2016,1,139.99,25,104.99
5029,4022,2015,1,49.99,0,49.99
5030,4024,2003,1,119.99,0,119.99
5032,4024,2016,1,139.99,0,139.99
5033,4024,2017,1,69.99,0,69.99
5035,4023,2002,1,89.99,10,80.99
5036,4025,2007,1,79.99,0,79.99
5038,4026,2006,1,249.99,0,249.99
5039,4027,2009,1,129.99,15,110.49
5041,4028,2001,1,39.99,0,39.99
5042,4029,2008,1,299.99,25,224.99
5044,4030,2010,1,59.99,0,59.99
5045,4031,2004,2,149.99,30,209.99
5047,4032,2004,1,149.99,0,149.99
5048,4033,2015,1,49.99,10,44.99
5050,4034,2002,1,89.99,10,80.99
5051,4035,2007,1,79.99,10,71.99
5053,4036,2001,2,39.99,0,79.98
5054,4037,2001,1,39.99,0,39.99
5056,4038,2003,1,119.99,20,95.99
5057,4039,2005,1,189.99,20,151.99
5059,4040,2002,1,89.99,10,80.99
5060,4041,2007,1,79.99,10,71.99
5062,4042,2001,2,39.99,0,79.98
5063,4043,2001,1,39.99,0,39.99
5065,4044,2003,1,119.99,20,95.99
5066,4045,2005,1,189.99,50,95.00
